Office,PublicIP,count_
Adelaide,139.130.198.250/32,73
Auckland,134.159.174.9/32,76
Bangkok,61.90.207.218/32,29
Beijing,111.207.160.91/32,76
Belgrade,82.117.215.38/32,25
Berlin,62.67.19.18/32,216
Birmingham,212.187.203.142/32,684
Bogota,190.144.247.54/32,62
Boston,67.75.7.234/32,106
Brisbane,138.217.234.174/32,402
Brisbane,220.244.84.6/32,16
Bristol,212.187.203.30/32,440
Cairns,110.145.132.74/32,18
Calgary,206.75.5.42/32,25
Calgary,206.75.18.186/32,27
Cape Town,196.211.88.34/32,24
Cardiff,212.187.166.198/32,345
Chicago,4.59.25.70/32,54
Cisco (Australia),151.186.179.86/32,87
Cisco (Canada),151.186.186.28/32,21
Cisco (Germany),151.186.180.26/32,41
Cisco (India),151.186.177.88/32,21
Cisco (Jakarta),151.186.185.21/32,10
Cisco (Singapore),151.186.178.27/32,154
Cisco (UK),151.186.181.32/32,259
Cisco (US East),151.186.182.39/32,70
Cisco (US West),151.186.183.99/32,54
Copenhagen,212.73.252.130/32,74
Cumbria,81.128.170.70/32,25
DC Sydney 1,202.3.74.31/32,77
DC Sydney 1,202.3.74.32/32,77
DC UK Node4,148.253.139.2/32,86
DC UK Node4,148.253.139.6/32,71
Delhi,14.195.111.202/32,82
Delhi,125.17.81.134/32,64
Dubai,94.200.207.26/32,99
Dubai,94.206.11.172/32,34
Durban,196.34.164.98/32,34
Dusseldorf,62.67.17.50/32,27
Edinburgh,194.88.87.62/32,225
Frankfurt,62.67.19.138/32,117
Galway,195.16.170.178/32,24
Glasgow,212.187.203.26/32,189
Guangzhou,210.21.30.82/32,47
Harare,197.96.103.170/32,44
Hong Kong Office,134.159.213.125/32,1254
Hong Kong Office,134.159.213.126/32,1257
Houston,67.75.5.238/32,89
Hyderabad,14.194.148.94/32,63
Istanbul,95.3.12.6/32,173
Jakarta,103.113.134.174/32,106
Jakarta,103.87.84.34/32,121
Joburg,196.37.240.213/32,42
Kuala Lumpur,210.19.87.234/32,286
Lagos,197.156.255.212/32,120
Leeds,194.88.87.94/32,323
Leeds,109.111.213.46/32,382
Liverpool,194.88.86.122/32,108
London,212.187.216.106/32,2427
Macau,65.59.92.2/32,276
Madrid,213.242.114.202/32,137
Madrid,202.175.91.202/32,65
Manila,203.190.69.50/32,16
Manila,212.187.174.146/32,415
Maroochydore,203.190.69.54/32,257
Maroochydore,27.32.53.66/32,16
Melbourne,110.145.220.10/32,572
Milan,212.133.20.142/32,201
Montreal,67.75.7.230/32,112
New Jersey,38.104.42.46/32,29
Newcastle,212.187.174.158/32,282
Penang,203.112.231.46/32,105
Perth,124.148.248.118/32,205
San Francisco,67.74.36.82/32,287
Seattle,67.75.7.226/32,88
Sheffield,194.88.86.134/32,156
Shenzhen,183.240.196.202/32,113
Singapore,202.126.129.242/32,538
Singapore,210.57.65.182/32,533
Stockton,212.187.174.134/32,15
Taipei,134.159.194.34/32,46
Tokyo,134.159.150.74/32,132
Toronto,199.76.34.22/32,118
Toronto,67.75.7.170/32,412
Townsville,110.143.74.182/32,11
UK-HHO,185.96.192.99/32,11
Vietnam,42.119.160.220/32,106
Warsaw,213.242.118.102/32,130
Washington,4.31.72.178/32,55
Whitehaven,62.254.132.50/32,22
Winchester,212.187.174.110/32,83
York,185.88.57.33/32,33
ams,176.94.121.180/32,11
ams,213.19.192.90/32,237
ams,145.50.40.205/32,14
blf,212.133.121.90/32,110
bne,123.243.31.235/32,11
bne,123.243.31.234/32,12
bog,38.92.215.86/32,22
cmb,212.187.174.34/32,11
cph,82.192.171.50/32,12
crk,212.133.76.22/32,206
crk,212.73.251.166/32,15
crk,212.133.76.30/32,10
dub,78.137.138.130/32,11
dub,212.73.251.166/32,455
dub,212.133.76.22/32,14
dub,212.133.76.26/32,12
eur,51.11.27.81/32,12
glo,51.11.27.81/32,24
gzh,27.111.165.30/32,39
har,196.33.253.10/32,44
hkg,104.208.127.226/32,14
hkg,104.208.127.229/32,14
hkg,104.208.127.224/32,14
hou,64.124.99.2/32,17
hyd,59.144.142.138/32,41
hyd,27.107.197.90/32,49
krk,212.133.80.202/32,90
lag,196.200.121.58/32,121
ldn,18.168.47.91/32,11
ldn,18.168.47.123/32,10
mac,202.175.90.106/32,54
mad,213.242.71.142/32,381
mau,196.46.61.210/32,120
mau,102.163.64.82/32,117
mau,102.117.170.159/32,12
mau,102.117.174.168/32,11
mcc,212.133.95.82/32,52
mel,49.255.152.125/32,15
mel,49.255.152.124/32,23
mel,202.137.110.18/32,22
mel,123.243.31.235/32,13
mel,119.17.49.10/32,11
mel,123.243.31.234/32,13
mil,185.95.225.58/32,23
mum,27.107.197.90/32,35
n-y,38.122.241.254/32,420
n-y,64.125.81.178/32,23
n-y,38.142.142.170/32,20
ntm,212.133.95.82/32,61
pek,27.111.165.30/32,48
sha,210.13.93.43/32,155
sha,27.111.165.30/32,111
shz,27.111.165.30/32,104
sin,115.42.231.178/32,18
sin,118.189.108.236/32,40
sin,115.42.188.226/32,11
syd,123.243.31.234/32,596
syd,203.41.209.229/32,386
syd,203.41.209.230/32,282
syd,123.243.31.235/32,590
tok,210.128.134.45/32,52
tor,207.219.118.10/32,14
tor,38.142.62.218/32,13
tor,207.34.214.234/32,14
tor,38.122.241.254/32,14
tor,158.106.77.193/32,14
tor,66.207.200.250/32,13
tor,76.66.154.8/32,10
