hostAddress,port,ipProtocol,appProtocol,totalIdentities,totalHits,totalAllowed,totalBlocked,associatedPrivateResources,firstSeen,lastSeen,label
10.0.0.10,161,UDP,snmp,1,2414,2414,0,,13/05/2025 0:01:27 BST,30/05/2025 0:59:48 BST,NOT_REVIEWED
10.0.0.104,51284,UDP,stun-nat,1,1,1,0,,21/05/2025 5:40:28 BST,21/05/2025 5:40:28 BST,NOT_REVIEWED
10.0.0.104,51284,UDP,stun-nat,1,1,1,0,,21/05/2025 5:40:28 BST,21/05/2025 5:40:28 BST,NOT_REVIEWED
10.0.0.104,51284,UDP,stun-nat,1,1,1,0,,21/05/2025 5:40:28 BST,21/05/2025 5:40:28 BST,NOT_REVIEWED
10.0.0.106,34753,UDP,stun-nat,1,1,1,0,,30/04/2025 8:23:17 BST,30/04/2025 8:23:17 BST,NOT_REVIEWED
10.0.0.106,44297,UDP,stun-nat,1,1,1,0,,30/04/2025 8:20:47 BST,30/04/2025 8:20:47 BST,NOT_REVIEWED
10.0.0.106,44297,UDP,stun-nat,1,1,1,0,,30/04/2025 8:20:47 BST,30/04/2025 8:20:47 BST,NOT_REVIEWED
10.0.0.108,62080,UDP,stun-nat,1,1,1,0,,30/04/2025 16:56:48 BST,30/04/2025 16:56:48 BST,NOT_REVIEWED
10.0.0.108,62080,UDP,stun-nat,1,1,1,0,,30/04/2025 16:56:48 BST,30/04/2025 16:56:48 BST,NOT_REVIEWED
10.0.0.108,54287,UDP,stun-nat,1,1,1,0,,30/04/2025 17:03:17 BST,30/04/2025 17:03:17 BST,NOT_REVIEWED
10.0.0.108,54287,UDP,stun-nat,1,1,1,0,,30/04/2025 17:03:17 BST,30/04/2025 17:03:17 BST,NOT_REVIEWED
10.0.0.108,54287,UDP,stun-nat,1,1,1,0,,30/04/2025 17:03:17 BST,30/04/2025 17:03:17 BST,NOT_REVIEWED
10.0.0.110,56253,UDP,stun-nat,1,1,1,0,,30/04/2025 7:49:41 BST,30/04/2025 7:49:41 BST,NOT_REVIEWED
10.0.0.110,56253,UDP,stun-nat,1,1,1,0,,30/04/2025 7:49:41 BST,30/04/2025 7:49:41 BST,NOT_REVIEWED
10.0.0.110,61940,UDP,stun-nat,1,1,1,0,,30/04/2025 8:01:21 BST,30/04/2025 8:01:21 BST,NOT_REVIEWED
10.0.0.111,62906,UDP,stun-nat,1,1,1,0,,30/04/2025 16:56:34 BST,30/04/2025 16:56:34 BST,NOT_REVIEWED
10.0.0.111,62906,UDP,stun-nat,1,1,1,0,,30/04/2025 16:56:34 BST,30/04/2025 16:56:34 BST,NOT_REVIEWED
10.0.0.113,61266,UDP,stun-nat,1,1,1,0,,30/04/2025 16:54:37 BST,30/04/2025 16:54:37 BST,NOT_REVIEWED
10.0.0.113,50203,UDP,stun-nat,1,1,1,0,,30/04/2025 16:48:37 BST,30/04/2025 16:48:37 BST,NOT_REVIEWED
10.0.0.12,61065,UDP,stun-nat,1,1,1,0,,30/04/2025 17:17:09 BST,30/04/2025 17:17:09 BST,NOT_REVIEWED
10.0.0.121,63065,UDP,stun-nat,1,1,1,0,,30/04/2025 17:11:14 BST,30/04/2025 17:11:14 BST,NOT_REVIEWED
10.0.0.121,57868,UDP,stun-nat,1,1,1,0,,30/04/2025 16:43:13 BST,30/04/2025 16:43:13 BST,NOT_REVIEWED
10.0.0.121,50183,UDP,stun-nat,1,1,1,0,,30/04/2025 16:55:00 BST,30/04/2025 16:55:00 BST,NOT_REVIEWED
10.0.0.121,50183,UDP,stun-nat,1,1,1,0,,30/04/2025 16:55:00 BST,30/04/2025 16:55:00 BST,NOT_REVIEWED
10.0.0.122,62525,UDP,stun-nat,1,1,1,0,,21/05/2025 5:30:16 BST,21/05/2025 5:30:16 BST,NOT_REVIEWED
10.0.0.122,57315,UDP,stun-nat,1,1,1,0,,30/04/2025 16:34:12 BST,30/04/2025 16:34:12 BST,NOT_REVIEWED
10.0.0.129,58940,UDP,stun-nat,1,1,1,0,,30/04/2025 16:44:17 BST,30/04/2025 16:44:17 BST,NOT_REVIEWED
10.0.0.129,58940,UDP,stun-nat,1,1,1,0,,30/04/2025 16:44:17 BST,30/04/2025 16:44:17 BST,NOT_REVIEWED
10.0.0.142,62092,UDP,stun-nat,1,1,1,0,,30/04/2025 17:25:03 BST,30/04/2025 17:25:03 BST,NOT_REVIEWED
10.0.0.142,62092,UDP,stun-nat,1,1,1,0,,30/04/2025 17:25:03 BST,30/04/2025 17:25:03 BST,NOT_REVIEWED
10.0.0.142,63035,UDP,stun-nat,1,1,1,0,,30/04/2025 17:14:04 BST,30/04/2025 17:14:04 BST,NOT_REVIEWED
10.0.0.142,62092,UDP,stun-nat,1,1,1,0,,30/04/2025 17:25:03 BST,30/04/2025 17:25:03 BST,NOT_REVIEWED
10.0.0.142,63035,UDP,stun-nat,1,1,1,0,,30/04/2025 17:14:04 BST,30/04/2025 17:14:04 BST,NOT_REVIEWED
10.0.0.152,54850,UDP,stun-nat,1,1,1,0,,30/04/2025 17:22:48 BST,30/04/2025 17:22:48 BST,NOT_REVIEWED
10.0.0.152,56716,UDP,stun-nat,1,1,1,0,,30/04/2025 17:15:28 BST,30/04/2025 17:15:28 BST,NOT_REVIEWED
10.0.0.152,56716,UDP,stun-nat,1,1,1,0,,30/04/2025 17:15:28 BST,30/04/2025 17:15:28 BST,NOT_REVIEWED
10.0.0.156,57441,UDP,stun-nat,1,1,1,0,,21/05/2025 5:42:46 BST,21/05/2025 5:42:46 BST,NOT_REVIEWED
10.0.0.161,50015,UDP,,1,1,1,0,,16/05/2025 13:34:22 BST,16/05/2025 13:34:22 BST,NOT_REVIEWED
10.0.0.164,42529,UDP,stun-nat,1,1,1,0,,30/04/2025 17:16:54 BST,30/04/2025 17:16:54 BST,NOT_REVIEWED
10.0.0.164,42529,UDP,stun-nat,1,1,1,0,,30/04/2025 17:16:54 BST,30/04/2025 17:16:54 BST,NOT_REVIEWED
10.0.0.166,56714,UDP,stun-nat,1,1,1,0,,21/05/2025 5:38:09 BST,21/05/2025 5:38:09 BST,NOT_REVIEWED
10.0.0.166,56714,UDP,stun-nat,1,1,1,0,,21/05/2025 5:38:09 BST,21/05/2025 5:38:09 BST,NOT_REVIEWED
10.0.0.169,443,TCP,https,1,2,2,0,,27/05/2025 4:45:16 BST,27/05/2025 4:45:16 BST,NOT_REVIEWED
10.0.0.171,56002,UDP,stun-nat,1,1,1,0,,30/04/2025 16:41:21 BST,30/04/2025 16:41:21 BST,NOT_REVIEWED
10.0.0.18,53445,UDP,stun-nat,1,1,1,0,,30/04/2025 7:49:58 BST,30/04/2025 7:49:58 BST,NOT_REVIEWED
10.0.0.18,49872,UDP,stun-nat,1,1,1,0,,21/05/2025 5:42:16 BST,21/05/2025 5:42:16 BST,NOT_REVIEWED
10.0.0.186,55840,UDP,stun-nat,1,1,1,0,,30/04/2025 17:26:16 BST,30/04/2025 17:26:16 BST,NOT_REVIEWED
10.0.0.189,62153,UDP,stun-nat,1,1,1,0,,30/04/2025 17:14:28 BST,30/04/2025 17:14:28 BST,NOT_REVIEWED
10.0.0.189,49678,UDP,stun-nat,1,1,1,0,,30/04/2025 17:25:12 BST,30/04/2025 17:25:12 BST,NOT_REVIEWED
10.0.0.189,62153,UDP,stun-nat,1,1,1,0,,30/04/2025 17:14:28 BST,30/04/2025 17:14:28 BST,NOT_REVIEWED
10.0.0.19,49755,UDP,stun-nat,1,1,1,0,,30/04/2025 16:50:09 BST,30/04/2025 16:50:09 BST,NOT_REVIEWED
10.0.0.202,56905,UDP,stun-nat,1,1,1,0,,30/04/2025 16:41:30 BST,30/04/2025 16:41:30 BST,NOT_REVIEWED
10.0.0.202,56905,UDP,stun-nat,1,1,1,0,,30/04/2025 16:41:30 BST,30/04/2025 16:41:30 BST,NOT_REVIEWED
10.0.0.203,53767,UDP,stun-nat,1,1,1,0,,21/05/2025 5:22:46 BST,21/05/2025 5:22:46 BST,NOT_REVIEWED
10.0.0.203,53767,UDP,stun-nat,1,1,1,0,,21/05/2025 5:22:46 BST,21/05/2025 5:22:46 BST,NOT_REVIEWED
10.0.0.204,61164,UDP,stun-nat,1,1,1,0,,30/04/2025 16:45:14 BST,30/04/2025 16:45:14 BST,NOT_REVIEWED
10.0.0.204,61164,UDP,stun-nat,1,1,1,0,,30/04/2025 16:45:14 BST,30/04/2025 16:45:14 BST,NOT_REVIEWED
10.0.0.204,61164,UDP,stun-nat,1,1,1,0,,30/04/2025 16:45:14 BST,30/04/2025 16:45:14 BST,NOT_REVIEWED
