Message ID,Verdict,,,,,,,,,
<e8d1240d-2007-4bd9-b581-214b2334869e@mtl-mta03-out2>,phishing,,,,,,,,,
<a95e594b-4e1f-4641-9c06-98a17a916f25@mtl-mta04-out1>,phishing,,,,,,,,,
<3398ec2f-efab-4add-895a-fa57d3968f01@mtl-mta03-out2>,phishing,,,,,,,,,
<58fc54d8-9308-48af-966e-a05d88d4b474@DU6PEPF0000B61C.eurprd02.prod.outlook.com>,scam,,,,,,,,,
<adf93521-d85c-4264-bd32-5a5e2abf3ac7@mtl-mta03-out2>,phishing,,,,,,,,,
<fbf27028-2f29-43e1-8f10-a3521bee9436@mtl-mta03-out2>,phishing,,,,,,,,,
<19a5d78c-7d07-4f42-823b-d814be479f81@DB1PEPF000509E2.eurprd03.prod.outlook.com>,malicious,,,,,,,,,
<20250228235156.1b8881611172c792@business1.theinsurancequoter.com>,phishing,,,,,,,,,
<cdd75ea2-19cb-4bea-ba46-3b48fd21f171@mtl-mta04-out1>,phishing,,,,,,,,,
<20250228234836.d565779ae0649484@business1.theinsurancequoter.com>,phishing,,,,,,,,,
<ce2d9eb9-fe02-4d5f-9d83-5425a45bffbc@mtl-mta04-out1>,phishing,,,,,,,,,
<fb3f4541-9ab6-46e4-a5d4-8d38de5cbb7b@mtl-mta04-out1>,phishing,,,,,,,,,
<acb2297f-6cf2-4b82-a847-2bd9f71d905e@mtl-mta03-out2>,phishing,,,,,,,,,
<20250228234647.9322e629e79fe8a7@business3.theinsurancequoter.com>,phishing,,,,,,,,,
<1a51eeb2-b15e-4c42-8df2-3726758027ca@mtl-mta03-out2>,phishing,,,,,,,,,
<9ead603c-bf18-4a95-9d3a-db6816af220d@mtl-mta04-out1>,phishing,,,,,,,,,
<5397ce20-097c-4a4c-805f-53b2b7fea092@mtl-mta03-out2>,phishing,,,,,,,,,
<7843712f-3783-4f15-b89b-477da83f57cc@mtl-mta04-out1>,phishing,,,,,,,,,
<ddfa4002-e402-4e60-9fcc-216864f03fa3@mtl-mta03-out2>,phishing,,,,,,,,,
<18222529-80ae-4fc7-a9d4-c785091e1632@mtl-mta04-out1>,phishing,,,,,,,,,
<92184f2f-0135-4c8d-b2ff-ea7702b6a3e6@mtl-mta03-out2>,phishing,,,,,,,,,
<c5217be6-c135-4ac4-acc5-17928d324d02@mtl-mta03-out2>,phishing,,,,,,,,,
<20250228233843.9e312d3cace3a652@business3.theinsurancequoter.com>,phishing,,,,,,,,,
<20250228233836.ea0b4d81f8c730a2@business3.theinsurancequoter.com>,phishing,,,,,,,,,
<20250228233733.280774ff2b022b70@us.creditformerchants.com>,phishing,,,,,,,,,
<7bb12708-9bb0-40d1-9bea-a67cdd7db679@mtl-mta03-out2>,phishing,,,,,,,,,
<c90e5ba2-89e7-433b-9e9e-9b41d6847ce9@mtl-mta03-out2>,phishing,,,,,,,,,
<7c72993f772b4f3a86381b28bc3697be_CAJ9v_n+kHyHxt8dtphqgwvWk+1TrWDUPns7uaM14u1CxeY1vAQ@mail.gmail.com>,scam,,,,,,,,,
<4a9ee7d1-e9ad-4446-9da3-cc5598c05e15@mtl-mta03-out2>,phishing,,,,,,,,,
<010001954ee652d7-e0b446b4-81db-4ae5-b2c0-dc2e8092c731-000000@email.amazonses.com>,malicious,,,,,,,,,
<20250301002904.B9DC566CC6FF98AB@cheng-hau.com>,scam,,,,,,,,,
<f11dac29-b9db-4b83-9f65-1ef3803bf2a3@mtl-mta03-out2>,phishing,,,,,,,,,
<e3615c5a-5e06-4a84-b708-f35ed13d792d@mtl-mta03-out2>,phishing,,,,,,,,,
<7f008d41-9d27-429e-936f-47fef221671b@mtl-mta03-out2>,phishing,,,,,,,,,
<0d2f8cd1-b168-4584-a002-633e77e6f52c@mtl-mta03-out2>,phishing,,,,,,,,,
<20250228232442.a24ee15e51ff4aae@business1.theinsurancequoter.com>,phishing,,,,,,,,,
<CAA8jegcca1Wp2W_EpxvccH4wJwbw3URR0zAMyg4UimDTn=FLZQ@mail.gmail.com>,scam,,,,,,,,,
<CAA8jegcca1Wp2W_EpxvccH4wJwbw3URR0zAMyg4UimDTn=FLZQ@mail.gmail.com>,scam,,,,,,,,,
<07dce6e9-1741-48db-b79d-4b52ef5e4287@mtl-mta03-out2>,phishing,,,,,,,,,
<f4afd553-2237-4fb8-9cda-e8365ce35913@mtl-mta03-out2>,phishing,,,,,,,,,
<4dca48a2-9a46-4b03-a86a-9686acaf6a84@mtl-mta04-out1>,phishing,,,,,,,,,
<mid-c7fff7d34146919993eb0ae2f3a13eee-2214@mode.modernfurniturereviews.com>,phishing,,,,,,,,,
<9716411542856197322218@DESKTOP-FMFKRG6>,scam,,,,,,,,,
<7481b6b9-d898-4122-a73e-bae5f7365037@mtl-mta03-out2>,phishing,,,,,,,,,
<CAKZ5UfcjLT18D-Xpo=uCTEoFnWrA19o8CKn5yiCK+tqgZpyh_Q@mail.gmail.com>,scam,,,,,,,,,
<202502282304.51SN4L7n003968@blank.cafe24.com>,scam,,,,,,,,,
<3b1b8428-4705-46cc-b1bd-2af04534f8fd@mtl-mta04-out1>,phishing,,,,,,,,,
<4213ae22-32ff-4cfa-a3f0-1a0462a5aed9@mtl-mta03-out2>,phishing,,,,,,,,,
<41ccf9a7-824e-47d0-afc2-30f12efbc455@mtl-mta04-out1>,phishing,,,,,,,,,
<445f7e02-50f4-484b-b45c-f322ad5e2654@mtl-mta03-out2>,phishing,,,,,,,,,
<eeb5435c-0b4d-40b3-9fff-431dd3346378@mtl-mta04-out1>,phishing,,,,,,,,,
<8204ea66-9030-46e0-b9a2-68d301d742ea@mtl-mta03-out2>,phishing,,,,,,,,,
<34a9e128-5398-4239-88f6-02f40da3104c@mtl-mta03-out2>,phishing,,,,,,,,,
<4c37ccc5-fc5b-4b35-9962-1b78fd96dd12@mtl-mta03-out2>,phishing,,,,,,,,,
<343fafb3-1a94-4eaf-92db-246566d6affe@mtl-mta04-out1>,phishing,,,,,,,,,
<bf6d950b-f28b-4836-8f08-3b6cf0bd48bc@mtl-mta04-out1>,phishing,,,,,,,,,
<cbbebd6b-2c53-4fb4-8a18-af0e1ac4883c@mtl-mta03-out2>,phishing,,,,,,,,,
<9f028e07-8bfd-4fc9-8a50-79c12a999a4e@mtl-mta03-out2>,phishing,,,,,,,,,
<e847ac9c-f077-4b8f-9124-979fed80f925@mtl-mta04-out1>,phishing,,,,,,,,,
<0a1f6cb2-a505-4f96-8555-f51f9554a20c@mtl-mta03-out2>,phishing,,,,,,,,,
<20250228225348.88e0138934d82084@business3.theinsurancequoter.com>,phishing,,,,,,,,,
<ca3724d50754658b864ec4db98260480@isel.pt>,scam,,,,,,,,,
<db8847cf-b837-43c7-8460-6cc01c155626@mtl-mta03-out2>,phishing,,,,,,,,,
<67c23d99.170a0220.2fc37f.af85@mx.google.com>,phishing,,,,,,,,,
<b104aa32-0c62-4edb-b93c-288f2fa63381@mtl-mta03-out2>,phishing,,,,,,,,,
<bec7f5cb-b317-4e09-bf43-37f900987c03@mtl-mta03-out2>,phishing,,,,,,,,,
<CAEJxiLzktRqAeNX0gL3UzeoGhmyBcUGADOMEN7NskX5gD85t+g@mail.gmail.com>,bec,,,,,,,,,
<bb123bd7-bc58-4b67-b901-b9ca8d557c2b@iad4s13mta1191.xt.local>,bec,,,,,,,,,
<fe61a271-4b76-45be-8303-81092489acae@mtl-mta03-out2>,phishing,,,,,,,,,
<5fe7f12d-1bf5-4a9b-b045-a0e5007bd598@mtl-mta03-out2>,phishing,,,,,,,,,
<20250228224239.1e774489b0964078@business3.theinsurancequoter.com>,phishing,,,,,,,,,
<cc0fcadbe3ef4021bcb3fa0943da2cc3_CAJ9v_n+BnuAg831Dr-Vi5ZTE2SS2+nSG4qB+Mir4UigC9QG+uA@mail.gmail.com>,scam,,,,,,,,,
<10df7a4e127543c897888faf64699522_CAJ9v_n+BnuAg831Dr-Vi5ZTE2SS2+nSG4qB+Mir4UigC9QG+uA@mail.gmail.com>,scam,,,,,,,,,
<20250228223735.5fea23d4c1cd9007@business3.theinsurancequoter.com>,phishing,,,,,,,,,
<4b878ddf-ed6e-4dd2-9c55-b5d2068ce29a@mtl-mta03-out2>,phishing,,,,,,,,,
<20250228223636.ac13ab1b58e7ece7@business1.theinsurancequoter.com>,phishing,,,,,,,,,
<c01e84b7-1b87-426d-a8ad-f424b7cdd0e1@mtl-mta04-out1>,phishing,,,,,,,,,
<60264e89-5547-4640-87dd-0282c1d4ae46@mtl-mta04-out1>,phishing,,,,,,,,,
