Message ID,Verdict,,,,,,,,,,,,,,,
<56d7yjW_TF-3kvL6hUMBFQ@geopod-ismtpd-6>,spam,,,,,,,,,,,,,,,
<054a2a13-8c0f-4755-996c-f546a6ade501@AMS0EPF000001B6.eurprd05.prod.outlook.com>,spam,,,,,,,,,,,,,,,
<4e7ff676-2e2d-4037-8ee9-45500e4cf7cb@DB1PEPF00039231.eurprd03.prod.outlook.com>,spam,,,,,,,,,,,,,,,
<46844028188242411830002@win96396>,spam,,,,,,,,,,,,,,,
<11fa101db743b$4a4b6870$dee23950$@aventis-analytics.com>,spam,,,,,,,,,,,,,,,
<61718185605120425@delivery.learnbfsi.com>,spam,,,,,,,,,,,,,,,
<J9fWhi-XSzGZfr8UTlZCmQ@geopod-ismtpd-6>,spam,,,,,,,,,,,,,,,
<rypmvk17383491634960481@w.wolfsonwallstreet.com>,spam,,,,,,,,,,,,,,,
<eb264-2baf-679d612a@marchonpac.com>,spam,,,,,,,,,,,,,,,
<CAD-7nOGO-reMQ8WZXzvvt9Dx7WVWN7jFZAAj7czxjdJcu9N2cQ@mail.gmail.com>,bec,,,,,,,,,,,,,,,
<oXDTWH6LSraqU3XPQvkwMg@geopod-ismtpd-27>,spam,,,,,,,,,,,,,,,
<f81215030b72c0e0978816336.ea56a49473.20250131233004.1f5470f1c7.504f57dd@mail202.atl221.rsgsv.net>,spam,,,,,,,,,,,,,,,
<41720083383318701@delivery.learnbfsi.com>,spam,,,,,,,,,,,,,,,
<b059552f-6b93-4e25-9dd9-9d528a1b108f@DB5PEPF00014B89.eurprd02.prod.outlook.com>,spam,,,,,,,,,,,,,,,
<8jiIZGsBStqXRNvgEwf03w@geopod-ismtpd-2>,spam,,,,,,,,,,,,,,,
<001901db7438$7c61b3d0$75251b70$@npcskills.co.za>,spam,,,,,,,,,,,,,,,
<CACdNi17+aZKB+6pFEuHCHpndKJvTChVHRRw_KBx+CAQ_Amj6Dg@mail.gmail.com>,scam,,,,,,,,,,,,,,,
<4jk7a0VBSC6_QXAOfZ-9Uw@geopod-ismtpd-29>,spam,,,,,,,,,,,,,,,
<11f6801db7439$09a640d0$1cf2c270$@executivetraining.sg>,spam,,,,,,,,,,,,,,,
