MessageID,Verdict,Last Action,Remediation Method,Retrospective Verdict,Received
<20250302132723.8b3bc4676602369a@business3.theinsurancequoter.com>,phishing,,,FALSE,2025-03-02T13:27:57Z
<659963039473908.4.EMC4000901782@thebestone.click>,phishing,,,FALSE,2025-03-02T13:26:43Z
<2fefc849-d2ef-4eb4-b7ff-4ff0bced64eb@mtl-mta03-out2>,phishing,,,FALSE,2025-03-02T13:25:31Z
<20250302131734.678cbd2fd448a732@business2.theinsurancequoter.com>,phishing,,,FALSE,2025-03-02T13:18:21Z
<mid-e2beebe57b341b53dfd34d5abe2d098d-1522@rail.railsempire.com>,phishing,,,FALSE,2025-03-02T13:14:25Z
<20250302140648.289A5D109F2CBDB6@cheng-hau.com>,scam,,,FALSE,2025-03-02T13:06:56Z
<fd34fb6c.CAAABrhEC4gAAAAAAAAAASjZNeAAAAAAGQQAAAAAABu9SwBnxFWW@mailjet.com>,bec,,,FALSE,2025-03-02T12:56:59Z
<b5d684e4-15d0-4eed-850d-99216bbd7152@applcommath.org>,bec,,,FALSE,2025-03-02T12:54:11Z
<20250302124315.eb52ccce94b5efb7@business3.theinsurancequoter.com>,phishing,,,FALSE,2025-03-02T12:43:20Z
<226f268d79bd97995af0b912f1456f40ca8ca9@esc.net.au>,phishing,,,FALSE,2025-03-02T12:43:18Z
<c31aac29-79b6-4495-be01-968f890950bd@DB5PEPF00014B98.eurprd02.prod.outlook.com>,scam,,,FALSE,2025-03-02T12:41:27Z
<301524136031442065514566@DESKTOP-NMR03B0>,scam,,,FALSE,2025-03-02T12:41:09Z
<CADc=-ew+tPk3N_jYhurP6=Mx+dCfap3_h0oKgn=jLTWNuEFycg@mail.gmail.com>,scam,,,FALSE,2025-03-02T12:33:55Z
<auto-000005769071@midlandonwab.com>,scam,,,FALSE,2025-03-02T12:33:21Z
<auto-000005769071@midlandonwab.com>,scam,,,FALSE,2025-03-02T12:33:17Z
<36d4e6ff-313b-43ce-b20d-69652940f865@simplerealtysolutions.com>,phishing,,,FALSE,2025-03-02T12:31:45Z
<12f85978-414b-478d-8233-1d867111008b@iconfhmls.com>,bec,,,FALSE,2025-03-02T12:19:31Z
<2-CbFUvs2Yltjb-9TupDUHGPWH7@smartbrain-company.com>,phishing,,,FALSE,2025-03-02T12:17:35Z
<autogen-java-7fa5e56d-5839-43bc-8314-3b16452b0492@google.com>,phishing,,,FALSE,2025-03-02T12:16:32Z
<C1.CF.22310.28B44C76@i-0b1b92204f297b78e.mta1vrest.sd.prd.sparkpost>,phishing,,,FALSE,2025-03-02T12:16:12Z
<1912779275.3413452.1740917549382@mail.yahoo.com>,scam,,,FALSE,2025-03-02T12:12:35Z
<20250302120611.67b3eac63e3365e4@us.creditformerchants.com>,phishing,,,FALSE,2025-03-02T12:06:47Z
<9eb6a6beae36465b8c3f99f5dc51463b@focelda.it>,scam,,,FALSE,2025-03-02T12:04:50Z
<2A.B9.22458.F7844C76@i-0b11083aecccea98c.mta1vrest.sd.prd.sparkpost>,phishing,,,FALSE,2025-03-02T12:04:42Z
<20250302120429.2c3e7e28b47db11e@mca1.creditformerchants.co.uk>,phishing,,,FALSE,2025-03-02T12:04:35Z
<174091687802.466.6682523125909232683@leadmaxx.pl>,phishing,,,FALSE,2025-03-02T12:04:05Z
<CAFqfYvW3wUf8RvcskARFBJ+hM2UQC8oFMhs2+BNKFcuE8y-4cg@mail.gmail.com>,phishing,,,FALSE,2025-03-02T12:02:45Z
<1774476209.6260422.1740916859086@mail.yahoo.com>,scam,,,FALSE,2025-03-02T12:01:07Z
<2cd9b193d8408cd27580f7df24760167@partner.berumax.ru>,scam,,,FALSE,2025-03-02T11:59:00Z
<E1tohs6-DVbVGI-OL@ucs131-ucs-1.selzymail.com>,malicious,,,FALSE,2025-03-02T11:57:43Z
<312268832.6261023.1740916426761@mail.yahoo.com>,scam,,,FALSE,2025-03-02T11:53:52Z
<20250302114832.0231c41b237e748c@business1.theinsurancequoter.com>,phishing,,,FALSE,2025-03-02T11:48:38Z
<axExml-NOA24WD-3r8JLd@sendersrv.com>,malicious,,,FALSE,2025-03-02T11:47:48Z
<30.79.22497.29444C76@i-0dc5b09bf313ca291.mta1vrest.sd.prd.sparkpost>,phishing,,,FALSE,2025-03-02T11:47:08Z
<mid-75222ca92846ad56c5ab2f0958b869b7-1566@kall.cookallhealthy.com>,phishing,,,FALSE,2025-03-02T11:45:53Z
<20250302045752.14FB2A26298@mail.yichang.com.pe>,scam,,,FALSE,2025-03-02T11:45:50Z
<mid-01JNBACSSBN065KNHRZA1G34BR@k3.send.modamarzenia.com>,phishing,,,FALSE,2025-03-02T11:45:37Z
<2b967eb8-df77-4770-9d66-f29a70768c28@ajomaa.org>,bec,,,FALSE,2025-03-02T11:45:33Z
