MessageID,Verdict,,,,,,,,,,,,,,
<CAD-7nOGO-reMQ8WZXzvvt9Dx7WVWN7jFZAAj7czxjdJcu9N2cQ@mail.gmail.com>,bec,,,,,,,,,,,,,,
<CACdNi17+aZKB+6pFEuHCHpndKJvTChVHRRw_KBx+CAQ_Amj6Dg@mail.gmail.com>,scam,,,,,,,,,,,,,,
<CAAh3R+iNorRdqXyximpZ6VuC1KRBC4G+_hz-cGAFnQqCuZHMAQ@mail.gmail.com>,scam,,,,,,,,,,,,,,
<679d591f.050a0220.31171c.c0f2@mx.google.com>,phishing,,,,,,,,,,,,,,
<CAKP9-bqh=BijpUuQnJYJRhZPU1sVVjb1j87Pz7ag1iyH=HkT-A@mail.gmail.com>,scam,,,,,,,,,,,,,,
<425491326.112774.1738361139306.JavaMail.zimbra@rotamatravel.com>,scam,,,,,,,,,,,,,,
<ace5bf5b-aefc-4885-9941-b18dc72f830d@iad4s13mta1147.xt.local>,bec,,,,,,,,,,,,,,
<HNPB1XyTil7KotUHWTeGmX3iCH2wGKXzwN-5bztyqiI.lEEHUUCUkN_2KL-m6QQOoGYbe6PBePkCbUIOSkTuSOg@livehealth.za.com>,phishing,,,,,,,,,,,,,,
<SzXGeue8mKOQ7tfmNvoL4UEEZMHjYlN5dY92hi6_kxE.kdMPiM_pI8rMqh94AqxYw6KOvOeqCSsdTBSbAg28qxY@livehealth.za.com>,phishing,,,,,,,,,,,,,,
<OBlrLcHwPgoeC7qxorJwEGwp7z0_CzrTQU5iw0ki2jE.ejuEqRsOqLT_wXQPdm89Zy2cuKawofh6fKFTI-v8W4s@livehealth.za.com>,phishing,,,,,,,,,,,,,,
<CALV1imZKa9JmS2naRRV+-tQU1Qn9X_-JO8TM1n+OSn4tac7OcQ@mail.gmail.com>,bec,,,,,,,,,,,,,,
<9238C2236FF07BE6560F1B839063BCAE@mvjxbg>,phishing,,,,,,,,,,,,,,
<6988783d-255c-43ca-b121-3e3ecec26ecf@colsurfsci.org>,bec,,,,,,,,,,,,,,
