Message ID,Verdict
<174346181760.9548.6378591020151554557@buytrckcenter.com>,phishing
<471b2b66-03c3-483b-a9ec-f1a68008e557@mtl-mta03-out2>,phishing
<CAB7yGwuFnH7mVQN2eOf1aqbFMW8VrEGv-W8Kia8Fr2ca6zG4FQ@mail.gmail.com>,scam
<mid-0b546f6fe0c8d58880d0be28fdb2d463-2598@free.dailyfreeemail.com>,phishing
<20250331224901.137f4547bce42edf@business1.theinsurancequoter.com>,phishing
<1594944262.476261.1743461289053.JavaMail.zimbra@btcmail.co.bw>,scam
<20250331224729.0f8a8e0e5e33febf@business3.theinsurancequoter.com>,phishing
<05ae857b-510c-4f79-a83c-c2f45132a5ac@joccee.org>,bec
<ad732f43-8951-4162-b8ab-a7ad8386cafa@ajoop.net>,bec
<0118b682-4a14-4c31-b102-f90c2693f9dd@mtl-mta03-out2>,phishing
<DVMSFSJWILQMTEWDKGH.YHWCYTELMTQHQDPORDS.KMBVUIUQJQBEBRKBHKX@zsydt.com>,phishing
<0d2f3e69-e9ed-4407-aa62-9c8f63c7b512@icphms.org>,bec
<123a0655-a0c9-4fa3-a2d7-9b813f4fb132@mtl-mta03-out2>,phishing
<PVCGTSKVKZXCODDINLJ.IIPNYTBBZWBASHNVEEF.BJLPGLHZMTOPNJRVRZD@zsydt.com>,phishing
<20250331223905.6c82db6e4b483c87@business3.theinsurancequoter.com>,phishing
<202503312236.52VMZwDx027524-52VMZwE1027524@FMKlb.kienlongbank.com>,scam
<BE.7A.36042.9E81BE76@i-022bebcbd197e30e6.mta1vrest.sd.prd.sparkpost>,phishing
<202503312235.52VMZl7R027508-52VMZl7T027508@FMKlb.kienlongbank.com>,scam
<CANDWeS4ZCLTi__yyCcE_opJA_M7XtF4HHG+7K=yr7-AwkAMB=w@mail.gmail.com>,scam
<7svcmmmubdco5v4m6xqjieeie.0spqaa2drbk37fxz0ohl8zeu64voqsyr03ehyn7jd8x9u-t5spw.zggjxon2l3xmu0bwl1743460320@fzdongbai.com>,phishing
<be3e4d96-7a95-4829-8307-17854a6bd7a4@mtl-mta03-out2>,phishing
<20250331221546.4ef9d45b03841651@us.creditformerchants.com>,phishing
