MessageID,Verdict,Received
<15132025033723A20E7FB9B8-97431D61ED@seguridadalfa.com>,scam,2025-03-15T23:59:36Z
<53832a13-172a-4691-954a-2241b49c8d4b@mtl-mta03-out2>,phishing,2025-03-14T23:48:53Z
<ae42997a-653a-443f-8095-a9122f43c27d@mtl-mta03-out2>,phishing,2025-03-14T23:47:20Z
<5ebd5ccb-43f9-4cc7-a2b2-c8bbef856e1a@mtl-mta03-out2>,phishing,2025-03-14T23:44:50Z
<707a37ab-6061-420d-b945-60da0ced31e9@icagrbio.org>,bec,2025-03-14T23:41:31Z
<61b80a25-55d0-4639-840f-ba7372588f4f@mtl-mta03-out2>,phishing,2025-03-14T23:40:27Z
<7c821334-e82a-4373-a14e-677a58705088@mtl-mta03-out2>,phishing,2025-03-14T23:39:02Z
<320c9240-afcb-4491-961c-56b6d6e68b2c@mtl-mta03-out2>,phishing,2025-03-14T23:38:31Z
<222e02b6-50a7-463e-aaf6-1a675a82f5e6@iad4s13mta1384.xt.local>,bec,2025-03-14T23:36:22Z
<20250314233446.557e02a2efc65b23@business1.theinsurancequoter.com>,phishing,2025-03-14T23:35:02Z
<20250314233453.afb4587e6f285963@us.creditformerchants.com>,phishing,2025-03-14T23:35:00Z
<20250207134235.A078D21CB0CCC@peru.hulw.ufpb.br>,scam,2025-03-14T23:34:36Z
<mid-fc6243a4348666e200940b5234e1fdcf-1106@aud.njsalestaxaudit.com>,phishing,2025-03-14T23:33:36Z
<autogen-java-0d6016f0-70f8-4cc4-82f8-b2d1a0c95bfa@google.com>,phishing,2025-03-14T23:31:40Z
<CAJ-kcNkj_rqeDG-Bxsu9FQ40nt3BoybsitQW+k00OTSV1qFwjg@mail.gmail.com>,scam,2025-03-14T23:30:18Z
<20250314232555.60ebcfed369d9277@business2.theinsurancequoter.com>,phishing,2025-03-14T23:26:16Z
<907e8762-79d3-4c36-8379-6a6c8d788955@mtl-mta03-out2>,phishing,2025-03-14T23:24:09Z
<F2.98.22513.53AB4D76@i-023220bd6c5741581.mta1vrest.sd.prd.sparkpost>,phishing,2025-03-14T23:22:33Z
<af3dee29-dd2c-4c8f-b829-14ac4b94aa78@ccresj.org>,bec,2025-03-14T23:20:51Z
<20250314231947.eb7911ed89c4ea1a@business1.theinsurancequoter.com>,phishing,2025-03-14T23:19:54Z
<9188ffc2-c12b-4408-8b8e-7fbe6a758a1c@jopsci.org>,bec,2025-03-14T23:14:11Z
<1_mwD1OOszb8r@boletinesv3.hyperionat.com>,phishing,2025-03-14T23:11:53Z
<dd7d223d-8caa-4a5a-b6a6-14e4ba79e88f@mtl-mta03-out2>,phishing,2025-03-14T23:11:32Z
<20250314231046.903c1ea6f4c80c51@business1.theinsurancequoter.com>,phishing,2025-03-14T23:10:52Z
<0465f78d-38cc-4a09-9be3-8ebb0f166a52@mtl-mta03-out2>,phishing,2025-03-14T23:10:06Z
<mid-014bb9731fd424c4e57c0d4639fda326-1647@more.cashprizesandmore.com>,phishing,2025-03-14T23:08:12Z
<2ab8fd1f-b72c-43c6-91d7-5204b6370230@mtl-mta03-out2>,phishing,2025-03-14T23:06:17Z
<20250314143006.57E64BF767B7A735@sionsve-com.icu>,malicious,2025-03-14T23:02:28Z
<20250314143006.57E64BF767B7A735@sionsve-com.icu>,scam,2025-03-14T23:02:27Z
<ccdc2998-2bb9-4b00-b710-39884b9ac28a@iad4s13mta1388.xt.local>,bec,2025-03-14T23:00:46Z
<70c9a82e-f287-425a-97ba-8be3b8a8e693@mtl-mta03-out2>,phishing,2025-03-14T22:55:51Z
<5ofqjbou0ctvlamfzy4vk26poetqpxdkj9z7o4.36770417.etlph3@x7xdohftyxbu3yzvez2jiv0zhvx408anbuc777.namprd9038.prod.outlook.com>,phishing,2025-03-14T22:55:19Z
<jx36mej3ffpgo851hx3x61j4jh0rsbuvp8i0ib.99740866.wbpffn@a13kug0bw41vmj3lziaamzwtp6dnd5hd4rbp8k.namprd4137.prod.outlook.com>,phishing,2025-03-14T22:55:11Z
<20250314224847.2f61a657b439dedc@business1.theinsurancequoter.com>,phishing,2025-03-14T22:49:05Z
<20250314223852.5e0eaeb77540a097@business3.theinsurancequoter.com>,phishing,2025-03-14T22:38:56Z
<20250206162214.0CC2F2246E85B@peru.hulw.ufpb.br>,scam,2025-03-14T22:38:27Z
<174199183504.466.4623450288952109892@leadmaxx.pl>,phishing,2025-03-14T22:37:21Z
<174199177575.4165530.4281113558269941557@mediawebtrck.pl>,phishing,2025-03-14T22:36:19Z
<mid-bfd3fcfc5d255300caa9ec7ecd9f90a8-1566@kall.cookallhealthy.com>,phishing,2025-03-14T22:24:56Z
<47aa3371-795d-4900-b83c-fd03a4575850@mtl-mta03-out2>,phishing,2025-03-14T22:24:18Z
<20250314222356.103bc8355b25ed19@business2.theinsurancequoter.com>,phishing,2025-03-14T22:24:14Z
<884fd2cb-8efb-48b7-a6d6-441b8ccea17b@mtl-mta03-out2>,phishing,2025-03-14T22:08:56Z
<20250314220649.56eabedfb2507147@mca1.creditformerchants.co.uk>,phishing,2025-03-14T22:06:55Z
<20250314200716.5D3BFC126940@server2.rw-host.de>,scam,2025-03-14T22:06:17Z
<20250314220458.d21895fd1fcee51c@business2.theinsurancequoter.com>,phishing,2025-03-14T22:05:03Z
<56aada20-66c3-4755-b81f-a678c3aa88a5@mtl-mta03-out2>,phishing,2025-03-14T22:02:48Z
<e2f495d0-306c-43b7-933d-e43e15460d58@mtl-mta03-out2>,phishing,2025-03-14T22:02:45Z
<a805724e-9a64-4c98-92c7-5ad07c3d453e@mtl-mta03-out2>,phishing,2025-03-14T22:00:30Z
<18EE2131E11AE190481FB9D39ADB5CE4@brfeuspk>,phishing,2025-03-14T22:00:24Z
<935b2b8e-73f2-427e-ac66-d6d1dd7454cc@mtl-mta03-out2>,phishing,2025-03-14T21:59:00Z
<8bce7a31-9cbe-4ce8-9d06-b3cd98584105@iad4s13mta1185.xt.local>,bec,2025-03-14T21:56:50Z
<01010195954e151b-1c580b84-9af1-4812-aea7-7225bb5b5b55-000000@us-west-2.amazonses.com>,scam,2025-03-14T21:56:44Z
<20250314145528.55C7782D583F5320@e9mail.com>,scam,2025-03-14T21:55:31Z
<74240467-4675-4978-8ff5-ba3281983631@mtl-mta03-out2>,phishing,2025-03-14T21:50:18Z
<B8msZxtoS76eWoCmGnIK7Q@geopod-ismtpd-6>,phishing,2025-03-14T21:50:03Z
<174196708374.2055651.17094055156741218418@biznetglobal.pl>,phishing,2025-03-14T21:43:50Z
<550c54f1-3c73-409d-af5b-4f9b0022c6a6@mtl-mta03-out2>,phishing,2025-03-14T21:40:11Z
<635914e1-0894-4896-96cd-7211d26b64da@iad4s13mta1382.xt.local>,bec,2025-03-14T21:39:20Z
<14542ea8-e91f-471f-a8a8-0f9bf02c6f90@mtl-mta03-out2>,phishing,2025-03-14T21:37:39Z
<20250314213646.30d52b5d72f15757@business1.theinsurancequoter.com>,phishing,2025-03-14T21:37:05Z
<f5e9dbc8-5595-4d12-8e55-6a561dd5874e@mtl-mta03-out2>,phishing,2025-03-14T21:35:55Z
<20250314213155.db25f924b49db688@business2.theinsurancequoter.com>,phishing,2025-03-14T21:32:28Z
<771e7b0f-a6c7-4985-bbb3-5fb9d75a7b3d@mtl-mta03-out2>,phishing,2025-03-14T21:30:45Z
<20250314142940.C5F127614448FFB5@e9mail.com>,scam,2025-03-14T21:29:46Z
<80ef90e8-8a68-47c2-9df7-a638827db3aa@mtl-mta03-out2>,phishing,2025-03-14T21:27:53Z
<20250314212457.4d30396b3636ab73@business2.theinsurancequoter.com>,phishing,2025-03-14T21:25:31Z
<3188cc45-0fc2-4554-b23c-9e9c99b4971b@mtl-mta03-out2>,phishing,2025-03-14T21:24:34Z
<20250314212356.7ac4f0f4885f1426@business2.theinsurancequoter.com>,phishing,2025-03-14T21:24:27Z
<b18848cc-40cd-4fbf-96ea-5d6fdfbb5e2d@mtl-mta03-out2>,phishing,2025-03-14T21:21:27Z
<2ab6562d-abff-440b-9af7-47c767825b58@mtl-mta03-out2>,phishing,2025-03-14T21:21:27Z
<54d0cad8-8a0e-4d91-ab9e-50ecf924b505@mtl-mta03-out2>,phishing,2025-03-14T21:19:46Z
<5d10b272-3447-418e-8ae0-879ee7c394a7@mtl-mta03-out2>,phishing,2025-03-14T21:19:26Z
<20250314211655.79c9ef20839cbfd1@business3.theinsurancequoter.com>,phishing,2025-03-14T21:17:00Z
