Region,Platform,Image,RemoteIP,LocalIP,TimeGenerated,Subscription,Cloud
southafricanorth,linux,cisco-cisco-c8000v-17_06_03a-byol-17.06.0320220429,102.37.149.244,10.95.2.21,24/02/2023 11:02,arup-it-core,AZURE_ARM
southafricanorth,linux,cisco-cisco-c8000v-17_06_03a-byol-17.06.0320220429,102.37.22.191,10.95.2.20,24/02/2023 11:02,arup-it-core,AZURE_ARM
eastasia,windows,MicrosoftWindowsServer-WindowsServer-2019-Datacenter-17763.4737.230802,104.208.106.132,10.205.123.4,16/05/2024 21:57,arup-it-production-open,AZURE_ARM
southcentralus,linux,cisco-cisco-csr-1000v-16_12-byol-16.12.120190816,104.215.83.156,10.190.130.21,13/10/2021 12:03,arup-it-core,AZURE_ARM
southcentralus,linux,cisco-cisco-csr-1000v-16_12-byol-16.12.120190816,104.215.97.253,10.190.130.20,13/10/2021 12:03,arup-it-core,AZURE_ARM
eu-west-1,windows,ami-08a92ed64caa44b84,108.128.145.146,10.119.0.9,11/02/2021 11:23,arup-ukimea-shared-prod,AWS
eu-west-1,linux,ami-0d4edc9acce4f3bb8,108.128.164.170,10.0.1.107,08/03/2024 09:48,arup-eur-irl-cfd-prod,AWS
eu-west-1,linux,ami-0d4edc9acce4f3bb8,108.128.247.147,10.0.101.200,03/02/2025 10:49,arup-eur-irl-cfd-prod,AWS
eu-west-1,linux,ami-083b263ba983d8e3c,108.128.31.254,10.119.3.168,11/02/2021 11:23,arup-eur-ams-digital-prod,AWS
eu-west-1,linux,ami-0437b321a233cc53c,108.129.71.159,192.168.28.117,09/12/2024 04:36,arup-ukimea-ade-pi-dev-test,AWS
ap-northeast-1,linux,ami-53a75835,13.114.145.79,100.64.127.231,11/02/2021 11:25,arup-networking,AWS
ap-southeast-2,linux,ami-0652aa31044228241,13.210.101.16,172.20.1.211,21/10/2024 04:40,arup-au-sydney-cfd-prod,AWS
ap-southeast-2,linux,ami-0bcb93941274eca3e,13.210.33.149,10.1.101.56,15/03/2023 07:14,arup-au-ade-shared-external,AWS
ap-southeast-2,linux,ami-0533b0dbc736434c4,13.211.101.254,172.20.2.159,12/05/2022 04:59,arup-au-sydney-cfd-prod,AWS
